HGNC ID	Approved symbol	Status	Previous symbols	Accession numbers	Gene group name	Gene group ID
HGNC:19235	AATF	Approved		AF083208	MicroRNA protein coding host genes	1691
HGNC:21	AATK	Approved		AB014541	MicroRNA protein coding host genes|Protein phosphatase 1 regulatory subunits|Receptor tyrosine kinases	1691|694|321
HGNC:22	AAVS1	Approved		S51329		
HGNC:49667	ABALON	Entry Withdrawn				
HGNC:23	ABAT	Approved		L32961	Transaminases	3517
HGNC:24	ABC1	Symbol Withdrawn				
HGNC:25	ABC2	Symbol Withdrawn				
HGNC:26	ABC3	Symbol Withdrawn				
HGNC:28	ABC7	Symbol Withdrawn				
HGNC:27	ABC50	Symbol Withdrawn				
HGNC:29	ABCA1	Approved	ABC1, HDLDT1	AJ012376	ATP binding cassette subfamily A|ATPase phospholipid transporting	805|1210
HGNC:32	ABCA2	Approved	ABC2	U18235	ATP binding cassette subfamily A	805
HGNC:33	ABCA3	Approved	ABC3	U78735	ATP binding cassette subfamily A|ATPase phospholipid transporting	805|1210
HGNC:55707	ABCA3P1	Approved				
HGNC:34	ABCA4	Approved	STGD1, ABCR, RP19, STGD	U88667	ATP binding cassette subfamily A|ATPase phospholipid transporting	805|1210
HGNC:35	ABCA5	Approved		U66672	ATP binding cassette subfamily A	805
HGNC:36	ABCA6	Approved		U66680	ATP binding cassette subfamily A|MicroRNA protein coding host genes	805|1691
HGNC:37	ABCA7	Approved		AF328787	ATP binding cassette subfamily A|ATPase phospholipid transporting	805|1210
HGNC:38	ABCA8	Approved		AB020629	ATP binding cassette subfamily A	805
HGNC:39	ABCA9	Approved		AF423307	ATP binding cassette subfamily A	805
HGNC:39983	ABCA9-AS1	Approved			Antisense RNAs	1987
HGNC:30	ABCA10	Approved		AY247065	ATP binding cassette subfamily A	805
HGNC:31	ABCA11P	Approved	ABCA11	AK024359	ATP binding cassette subfamily A	805
HGNC:14637	ABCA12	Approved	ICR2B	AF418105	ATP binding cassette subfamily A|ATPase phospholipid transporting	805|1210
HGNC:14638	ABCA13	Approved		AY204751	ATP binding cassette subfamily A	805
HGNC:34405	ABCA15P	Approved	NCRNA00169, CRYM-AS1			
HGNC:32972	ABCA17P	Approved		DQ266102	ATP binding cassette subfamily A|Unitary pseudogenes	805|3418
HGNC:40	ABCB1	Approved	PGY1, MDR1, CLCS	M14758	ATP binding cassette subfamily B|ATPase phospholipid transporting|CD molecules	806|1210|471
HGNC:11563	ABCB2	Symbol Withdrawn				
HGNC:11564	ABCB3	Symbol Withdrawn				
HGNC:45	ABCB4	Approved	PGY3, MDR3	M23234	ATP binding cassette subfamily B|ATPase phospholipid transporting	806|1210
HGNC:46	ABCB5	Approved		U66692	ATP binding cassette subfamily B	806
HGNC:47	ABCB6	Approved		AF070598	ATP binding cassette subfamily B|Blood group antigens	806|454
HGNC:48	ABCB7	Approved	ABC7	AF038950	ATP binding cassette subfamily B	806
HGNC:49	ABCB8	Approved		AF047690	ATP binding cassette subfamily B	806
HGNC:50	ABCB9	Approved		U66676	ATP binding cassette subfamily B	806
HGNC:41	ABCB10	Approved		U18237	ATP binding cassette subfamily B	806
HGNC:14114	ABCB10P1	Approved	ABCB10P, ABCB10P2	AF218417		
HGNC:31128	ABCB10P2	Symbol Withdrawn				
HGNC:31129	ABCB10P3	Approved				
HGNC:31130	ABCB10P4	Approved				
HGNC:42	ABCB11	Approved	BSEP, PFIC2	AF091582	ATP binding cassette subfamily B	806
HGNC:51	ABCC1	Approved	MRP, MRP1	L05628	ATP binding cassette subfamily C|Blood group antigens	807|454
HGNC:53	ABCC2	Approved	CMOAT	U63970	ATP binding cassette subfamily C	807
HGNC:54	ABCC3	Approved		Y17151	ATP binding cassette subfamily C	807
HGNC:55	ABCC4	Approved		U66682	ATP binding cassette subfamily C|Blood group antigens	807|454
HGNC:56	ABCC5	Approved		AF104942	ATP binding cassette subfamily C	807
HGNC:40055	ABCC5-AS1	Approved			Antisense RNAs	1987
HGNC:57	ABCC6	Approved	ARA, PXE	AF076622	ATP binding cassette subfamily C	807
HGNC:33352	ABCC6P1	Approved		BC075833		
HGNC:33353	ABCC6P2	Approved				
HGNC:58	ABCC7	Symbol Withdrawn				
HGNC:59	ABCC8	Approved	SUR, HRINS	L78207	ATP binding cassette subfamily C	807
HGNC:60	ABCC9	Approved		AF061323	ATP binding cassette subfamily C	807
HGNC:52	ABCC10	Approved		U66684	ATP binding cassette subfamily C|MicroRNA protein coding host genes	807|1691
HGNC:14639	ABCC11	Approved		AF367202	ATP binding cassette subfamily C	807
HGNC:14640	ABCC12	Approved		AY040220	ATP binding cassette subfamily C	807
HGNC:16022	ABCC13	Approved		AF418600	Unitary pseudogenes|ATP binding cassette subfamily C	3418|807
HGNC:61	ABCD1	Approved	ALD	Z21876	ATP binding cassette subfamily D	808
HGNC:62	ABCD1P1	Approved		U90290		
HGNC:63	ABCD1P2	Approved		U90288		
HGNC:64	ABCD1P3	Approved		U90289		
HGNC:65	ABCD1P4	Approved		U90291		
HGNC:42662	ABCD1P5	Approved				
HGNC:66	ABCD2	Approved	ALDL1	U28150	ATP binding cassette subfamily D	808
HGNC:67	ABCD3	Approved	PXMP1	M81182	ATP binding cassette subfamily D|GOLD domain containing	808|1062
HGNC:68	ABCD4	Approved	PXMP1L	AF009746	ATP binding cassette subfamily D	808
HGNC:69	ABCE1	Approved	RNASEL1, RNASELI, RNS4I	X74987	ATP binding cassette subfamily E	809
HGNC:58656	ABCE1P1	Approved				
HGNC:58657	ABCE1P2	Approved				
HGNC:58658	ABCE1P3	Approved				
HGNC:70	ABCF1	Approved	ABC50	AF027302	ATP binding cassette subfamily F|MicroRNA protein coding host genes	810|1691
HGNC:53628	ABCF1-DT	Approved			Divergent transcripts	1990
HGNC:71	ABCF2	Approved		AJ005016	ATP binding cassette subfamily F	810
HGNC:54751	ABCF2-H2BK1	Approved	ABCF2-H2BE1			
HGNC:48841	ABCF2P1	Approved				
HGNC:48842	ABCF2P2	Approved				
HGNC:72	ABCF3	Approved		U66685	ATP binding cassette subfamily F	810
HGNC:73	ABCG1	Approved		U34919	ATP binding cassette subfamily G	811
HGNC:74	ABCG2	Approved		AF103796	ATP binding cassette subfamily G|Blood group antigens|CD molecules	811|454|471
HGNC:13884	ABCG4	Approved		AJ300465	ATP binding cassette subfamily G	811
HGNC:13886	ABCG5	Approved		T93792	ATP binding cassette subfamily G	811
HGNC:13887	ABCG8	Approved		AF320294	ATP binding cassette subfamily G	811
HGNC:75	ABCR	Symbol Withdrawn				
HGNC:17553	ABHD1	Approved		AK093447	Abhydrolase domain containing	4
HGNC:18717	ABHD2	Approved		X12433	Abhydrolase domain containing	4
HGNC:18718	ABHD3	Approved		AK024880	Abhydrolase domain containing	4
HGNC:20154	ABHD4	Approved		AK022878	Abhydrolase domain containing	4
HGNC:21396	ABHD5	Approved		AF007132	Abhydrolase domain containing	4
HGNC:21398	ABHD6	Approved		AF225418	2-arachidonoylglycerol hydrolases|Abhydrolase domain containing	3503|4
HGNC:23759	ABHD8	Approved		AK021805	Abhydrolase domain containing	4
HGNC:25656	ABHD10	Approved		AL713726	Abhydrolase domain containing	4
HGNC:16407	ABHD11	Approved	WBSCR21	AF217971	Abhydrolase domain containing	4
HGNC:40012	ABHD11-AS2	Entry Withdrawn				
HGNC:15868	ABHD12	Approved	C20orf22	AL117442	2-arachidonoylglycerol hydrolases|Abhydrolase domain containing	3503|4
HGNC:19837	ABHD12B	Approved	C14orf29	BG698443	Abhydrolase domain containing	4
HGNC:20293	ABHD13	Approved	C13orf6	AK027812	Abhydrolase domain containing	4
HGNC:24538	ABHD14A	Approved		AY358201	Abhydrolase domain containing	4
HGNC:38856	ABHD14A-ACY1	Approved				
HGNC:28235	ABHD14B	Approved		AK075112	Abhydrolase domain containing	4
HGNC:26971	ABHD15	Approved		AK056717	Abhydrolase domain containing	4
HGNC:49685	ABHD15-AS1	Approved		CN275323	Antisense RNAs	1987
HGNC:13921	ABHD16A	Approved	BAT5	AF129756	Abhydrolase domain containing|MicroRNA protein coding host genes	4|1691
HGNC:16128	ABHD16B	Approved	C20orf135		Abhydrolase domain containing	4
HGNC:58392	ABHD16B-AS1	Approved			Antisense RNAs	1987
HGNC:28756	ABHD17A	Approved	C19orf27, FAM108A1	BC020512	Abhydrolase domain containing|Depalmitoylases	4|1749
HGNC:28394	ABHD17AP1	Approved	FAM108A2, ABHD17AP2, FAM108A3, FAM108A11P, FAM108A3P			
HGNC:33538	ABHD17AP2	Symbol Withdrawn	FAM108A3, FAM108A11P, FAM108A3P			
HGNC:34041	ABHD17AP3	Approved	FAM108A4, FAM108A4P			
HGNC:34042	ABHD17AP4	Approved	FAM108A5, FAM108A5P			
HGNC:34043	ABHD17AP5	Approved	FAM108A6, FAM108A6P			
HGNC:34044	ABHD17AP6	Approved	FAM108A7P			
HGNC:38508	ABHD17AP7	Approved	FAM108A8P			
HGNC:38509	ABHD17AP8	Approved	FAM108A9P			
HGNC:38510	ABHD17AP9	Approved	FAM108A10P			
HGNC:24278	ABHD17B	Approved	C9orf77, FAM108B1	AF151825	Depalmitoylases|Abhydrolase domain containing	1749|4
HGNC:26925	ABHD17C	Approved	FAM108C1		Depalmitoylases|Abhydrolase domain containing	1749|4
HGNC:26111	ABHD18	Approved	C4orf29	AK024759	Abhydrolase domain containing	4
HGNC:11320	ABI1	Approved	SSH3BP1	U87166		
HGNC:20035	ABI1P1	Approved	SSH3BP1P, ABI1P			
HGNC:24011	ABI2	Approved		AF260261	SCAR/WAVE complex	1793
HGNC:29859	ABI3	Approved		AB037886		
HGNC:17265	ABI3BP	Approved		AB056106	Fibronectin type III domain containing	555
HGNC:1364	ABITRAM	Approved	C9orf6, FAM206A	BC015795		
HGNC:39851	ABITRAMP1	Approved	FAM206BP			
HGNC:76	ABL1	Approved	ABL	M14752	Abl family tyrosine kinases|SH2 domain containing	1463|741
HGNC:77	ABL2	Approved	ABLL	M14904	SH2 domain containing|Abl family tyrosine kinases	741|1463
HGNC:78	ABLIM1	Approved	LIMAB1, ABLIM	AF005654	LIM domain containing	1218
HGNC:19195	ABLIM2	Approved		AB058711	LIM domain containing|MicroRNA protein coding host genes	1218|1691
HGNC:58727	ABLIM2-DT	Approved			Divergent transcripts	1990
HGNC:29132	ABLIM3	Approved		AB020650	LIM domain containing	1218
HGNC:79	ABO	Approved		AF134415	Glycosyltransferase family 6|Blood group antigens	429|454
HGNC:81	ABR	Approved		L19704	C2 domain containing|Dbl family Rho GEFs|MicroRNA protein coding host genes|Pleckstrin homology domain containing	823|722|1691|682
HGNC:55674	ABR-AS1	Approved			Antisense RNAs	1987
HGNC:30655	ABRA	Approved		AF503617		
HGNC:21230	ABRACL	Approved	C6orf115	BC014953		
HGNC:25829	ABRAXAS1	Approved	CCDC98, FAM175A	AK023676	BRCA1 A complex	1328
HGNC:56461	ABRAXAS1P1	Approved				
HGNC:56462	ABRAXAS1P2	Approved				
HGNC:28975	ABRAXAS2	Approved	KIAA0157, FAM175B	D63877	BRISC complex	1375
HGNC:17369	ABT1	Approved		AB027258	SSU processome	1484
HGNC:39557	ABT1P1	Approved				
HGNC:18275	ABTB1	Approved		AB053324	Ankyrin repeat domain containing|BTB domain containing	403|861
HGNC:23842	ABTB2	Approved		AK056863	Ankyrin repeat domain containing|BTB domain containing	403|861
HGNC:23844	ABTB3	Approved	BTBD11	AK091276	Ankyrin repeat domain containing|BTB domain containing	403|861
HGNC:82	ACAA1	Approved		X14813		
HGNC:83	ACAA2	Approved		D16294		
HGNC:55880	ACAA2P1	Approved				
HGNC:84	ACACA	Approved	ACAC, ACC	U19822	Acetyl-CoA carboxylase family	3437
HGNC:85	ACACB	Approved		U89344	Acetyl-CoA carboxylase family	3437
HGNC:86	ACAD	Entry Withdrawn				
HGNC:87	ACAD8	Approved		AF126245	Acyl-CoA dehydrogenase family|Flavoproteins	974|2258
HGNC:21497	ACAD9	Approved		AF078854	Acyl-CoA dehydrogenase family|Flavoproteins|Mitochondrial complex I assembly complex	974|2258|1387
HGNC:56086	ACAD9-DT	Approved			Divergent transcripts	1990
HGNC:21597	ACAD10	Approved		AY323912	Flavoproteins|Acyl-CoA dehydrogenase family	2258|974
HGNC:30211	ACAD11	Approved		BC019607	Acyl-CoA dehydrogenase family|Flavoproteins	974|2258
HGNC:88	ACADL	Approved		M74096	Flavoproteins|Acyl-CoA dehydrogenase family	2258|974
HGNC:89	ACADM	Approved		M16827	Acyl-CoA dehydrogenase family|Flavoproteins	974|2258
HGNC:90	ACADS	Approved		M26393	Flavoproteins|Acyl-CoA dehydrogenase family	2258|974
HGNC:91	ACADSB	Approved		U12778	Acyl-CoA dehydrogenase family|Flavoproteins	974|2258
HGNC:92	ACADVL	Approved		BC012912	Flavoproteins|Acyl-CoA dehydrogenase family	2258|974
HGNC:319	ACAN	Approved	MSK16, CSPG1, AGC1	M55172	V-set domain containing|Sushi domain containing|Hyalectan proteoglycans|C-type lectin domain containing	590|1179|574|1298
HGNC:16467	ACAP1	Approved	CENTB1	D30758	Ankyrin repeat domain containing|ArfGAPs|BAR-PH domain containing	403|395|1291
HGNC:16469	ACAP2	Approved	CENTB2		Ankyrin repeat domain containing|ArfGAPs|BAR-PH domain containing	403|395|1291
HGNC:41426	ACAP2-IT1	Approved			Intronic transcripts	1989
HGNC:16754	ACAP3	Approved	CENTB5	AF411981	MicroRNA protein coding host genes|Ankyrin repeat domain containing|ArfGAPs|BAR-PH domain containing	1691|403|395|1291
HGNC:93	ACAT1	Approved	ACAT	D90228		
HGNC:94	ACAT2	Approved		AF356877		
HGNC:15453	ACBD3	Approved	GOLPH1, GOCAP1	AB043587	A-kinase anchoring proteins	396
HGNC:40701	ACBD3-AS1	Approved		AW511419	Antisense RNAs	1987
HGNC:23337	ACBD4	Approved		BC029164		
HGNC:23338	ACBD5	Approved		AF505653		
HGNC:23339	ACBD6	Approved		BC006505	Ankyrin repeat domain containing|MicroRNA protein coding host genes	403|1691
HGNC:17715	ACBD7	Approved		AK095538		
HGNC:58659	ACBD7P1	Approved				
HGNC:96	ACBP	Symbol Withdrawn				
HGNC:97	ACC	Symbol Withdrawn				
HGNC:98	ACCN	Symbol Withdrawn				
HGNC:14594	ACCPN	Symbol Withdrawn				
HGNC:23989	ACCS	Approved		AY026508		
HGNC:34391	ACCSL	Approved				
HGNC:56899	ACCSLP1	Approved				
HGNC:25070	ACD	Approved		AF070535	Shelterin complex	1334
HGNC:2707	ACE	Approved	DCP1	J04144	CD molecules	471
HGNC:13557	ACE2	Approved		AF291820		
HGNC:56255	ACE2-DT	Approved			Divergent transcripts	1990
HGNC:44365	ACE3P	Approved			Unitary pseudogenes	3418
HGNC:18356	ACER1	Approved	ASAH3	AF347024	Alkaline ceramidases	400
HGNC:23675	ACER2	Approved	ASAH3L	AK123581	Alkaline ceramidases	400
HGNC:54674	ACER2P1	Approved				
HGNC:16066	ACER3	Approved	PHCA	AF214454	Alkaline ceramidases	400
HGNC:58067	ACER3-AS1	Approved			Antisense RNAs	1987
HGNC:106	ACH	Symbol Withdrawn				
HGNC:107	ACHAP	Symbol Withdrawn				
HGNC:108	ACHE	Approved	YT		Blood group antigens|Cholinesterase family	454|3435
HGNC:109	ACHM1	Symbol Withdrawn	RMCH			
HGNC:110	ACHM2	Symbol Withdrawn				
HGNC:111	ACHM3	Symbol Withdrawn				
HGNC:112	ACHRD	Symbol Withdrawn				
HGNC:113	ACHRG	Symbol Withdrawn				
HGNC:17066	ACIN1	Approved	ACINUS	AB014570	ASAP complex subunits	1236
HGNC:4035	ACKR1	Approved	FY, DARC	U01839	CD molecules|Atypical chemokine receptors|Blood group antigens	471|1090|454
HGNC:1565	ACKR2	Approved	CMKBR9, CCBP2	U94888	Atypical chemokine receptors	1090
HGNC:23692	ACKR3	Approved	CMKOR1, CXCR7	BC008459	Atypical chemokine receptors	1090
HGNC:1611	ACKR4	Approved	CCRL1	AF110640	Atypical chemokine receptors	1090
HGNC:21142	ACKR4P1	Approved	CCRL1P, CCRL1P1			
HGNC:13708	ACKR5	Approved	ADMR, GPR182	Y13583	G protein-coupled receptors, Class A orphans|Atypical chemokine receptors	262|1090
HGNC:114	ACLS	Entry Withdrawn				
HGNC:115	ACLY	Approved		X64330		
HGNC:116	ACMG	Entry Withdrawn				
HGNC:19288	ACMSD	Approved		AB071418	MicroRNA protein coding host genes	1691
HGNC:34504	ACNATP	Approved	BAATP1		Unitary pseudogenes	3418
HGNC:117	ACO1	Approved	IREB1	M58510		
HGNC:118	ACO2	Approved		AH006514		
HGNC:56989	ACO2P1	Approved				
HGNC:56990	ACO2P2	Approved				
HGNC:33904	ACOD1	Approved	IRG1			
HGNC:33128	ACOT1	Approved		DQ082754	Acyl-CoA thioesterases	41
HGNC:18431	ACOT2	Approved		AY005822, AK001939	Acyl-CoA thioesterases	41
HGNC:19748	ACOT4	Approved		BC031799	Acyl-CoA thioesterases	41
HGNC:58578	ACOT4P1	Approved				
HGNC:33159	ACOT6	Approved	C14orf42	DQ082756, BF109853	Acyl-CoA thioesterases	41
HGNC:24157	ACOT7	Approved		AB074417	Acyl-CoA thioesterases	41
HGNC:15919	ACOT8	Approved	PTE1	AF014404	Acyl-CoA thioesterases	41
HGNC:17152	ACOT9	Approved		AF132950	Acyl-CoA thioesterases	41
HGNC:18156	ACOT11	Approved	THEA	AB014607	StAR related lipid transfer domain containing|Acyl-CoA thioesterases	759|41
HGNC:24436	ACOT12	Approved		AB078619	Acyl-CoA thioesterases|StAR related lipid transfer domain containing	41|759
HGNC:59089	ACOT12-DT	Approved			Divergent transcripts	1990
HGNC:20999	ACOT13	Approved	THEM2	AF220186	Acyl-CoA thioesterases	41
HGNC:119	ACOX1	Approved		U03254	Flavoproteins	2258
HGNC:120	ACOX2	Approved		X95190	Flavoproteins	2258
HGNC:121	ACOX3	Approved		Y11411	Flavoproteins	2258
HGNC:25621	ACOXL	Approved			Flavoproteins	2258
HGNC:41112	ACOXL-AS1	Approved			Antisense RNAs	1987
HGNC:122	ACP1	Approved		M87546	Class II Cys-based phosphatases|Acid phosphatases	712|1071
HGNC:123	ACP2	Approved		X15525	Acid phosphatases	1071
HGNC:125	ACP3	Approved	ACPP		Acid phosphatases	1071
HGNC:14376	ACP4	Approved	ACPT	AF321918	Acid phosphatases	1071
HGNC:124	ACP5	Approved		X14618	Acid phosphatases	1071
HGNC:29609	ACP6	Approved		BC009965	Acid phosphatases	1071
HGNC:33781	ACP7	Approved			Acid phosphatases	1071
HGNC:126	ACR	Approved		CR456366		
HGNC:17195	ACRBP	Approved		AB051833	Armadillo like helical domain containing	1492
HGNC:54745	ACRP1	Approved				
HGNC:127	ACRV1	Approved		AK223335		
HGNC:128	ACS3	Symbol Withdrawn				
HGNC:29567	ACSBG1	Approved		AB014531	Acyl-CoA synthetase family	40
HGNC:24174	ACSBG2	Approved			Acyl-CoA synthetase family	40
HGNC:26101	ACSF2	Approved		AK024573, BC012053	Acyl-CoA synthetase family	40
HGNC:27288	ACSF3	Approved		AK075499	Acyl-CoA synthetase family	40
HGNC:3569	ACSL1	Approved	FACL2	BC026290	Acyl-CoA synthetase family	40
HGNC:58916	ACSL1-DT	Approved			Divergent transcripts	1990
HGNC:3570	ACSL3	Approved	FACL3	D89053	Acyl-CoA synthetase family	40
HGNC:40227	ACSL3-AS1	Approved		DB074600	Antisense RNAs	1987
HGNC:56529	ACSL3P1	Approved				
HGNC:3571	ACSL4	Approved	FACL4, MRX63, MRX68	BC034959	Acyl-CoA synthetase family	40
HGNC:16526	ACSL5	Approved	FACL5	AB033899	Acyl-CoA synthetase family	40
HGNC:16496	ACSL6	Approved	FACL6	AB020644	Acyl-CoA synthetase family	40
HGNC:40772	ACSL6-AS1	Approved			Antisense RNAs	1987
HGNC:40773	ACSL6-AS2	Approved			Antisense RNAs	1987
HGNC:18049	ACSM1	Approved	BUCS1	AB059429	Acyl-CoA synthetase family	40
HGNC:32017	ACSM2A	Approved	ACSM2	AK091878, AK096039	Acyl-CoA synthetase family	40
HGNC:30931	ACSM2B	Approved	ACSM2	AY160217	Acyl-CoA synthetase family	40
HGNC:10522	ACSM3	Approved	SAH	D16350	Acyl-CoA synthetase family	40
HGNC:32016	ACSM4	Approved			Acyl-CoA synthetase family	40
HGNC:26060	ACSM5	Approved			Acyl-CoA synthetase family	40
HGNC:51295	ACSM5P1	Approved				
HGNC:31665	ACSM6	Approved	C10orf129		Acyl-CoA synthetase family	40
HGNC:16091	ACSS1	Approved	ACAS2L		Acyl-CoA synthetase family	40
HGNC:15814	ACSS2	Approved	ACAS2	AF263614	Acyl-CoA synthetase family	40
HGNC:24723	ACSS3	Approved			Acyl-CoA synthetase family|MicroRNA protein coding host genes	40|1691
HGNC:58286	ACSS3-AS1	Approved			Antisense RNAs	1987
HGNC:129	ACTA1	Approved	ACTA	J00068	Actins	929
HGNC:130	ACTA2	Approved		X13839	Actins	929
HGNC:45169	ACTA2-AS1	Approved		AK093340, AX748062	Antisense RNAs	1987
HGNC:131	ACTA3	Symbol Withdrawn				
HGNC:132	ACTB	Approved		M28424	Actins|BAF complex subunits|GBAF complex subunits|PBAF complex subunits	929|1604|1606|1605
HGNC:17780	ACTBL2	Approved			Actins	929
HGNC:134	ACTBP1	Approved				
HGNC:135	ACTBP2	Approved				
HGNC:136	ACTBP3	Approved				
HGNC:137	ACTBP4	Approved				
HGNC:138	ACTBP5	Entry Withdrawn				
HGNC:139	ACTBP6	Approved				
HGNC:140	ACTBP7	Approved		V00479		
HGNC:141	ACTBP8	Approved		V00481		
HGNC:142	ACTBP9	Approved		D50604		
HGNC:31819	ACTBP10	Approved				
HGNC:33971	ACTBP11	Approved				
HGNC:150	ACTBP12	Approved	ACTGP5			
HGNC:45086	ACTBP14	Approved				
HGNC:55065	ACTBP15	Approved				
HGNC:56590	ACTBP16	Approved				
HGNC:143	ACTC1	Approved	ACTC	BC009978	Actins	929
HGNC:51491	ACTE1P	Approved			Unitary pseudogenes	3418
HGNC:144	ACTG1	Approved	ACTG, DFNA20, DFNA26		Actins	929
HGNC:146	ACTG1P1	Approved	ACTGP1, ACT1GP1	D50658		
HGNC:147	ACTG1P2	Approved	ACTL2, ACTGP2			
HGNC:148	ACTG1P3	Approved	ACTGP3	AF196978		
HGNC:149	ACTG1P4	Approved	ACTGP4			
HGNC:151	ACTG1P6	Approved	ACTGP6			
HGNC:152	ACTG1P7	Approved	ACTGP7			
HGNC:153	ACTG1P8	Approved	ACTGP8			
HGNC:154	ACTG1P9	Approved	ACTGP9	D50659		
HGNC:155	ACTG1P10	Approved	ACTL1, ACTGP10	AL139396		
HGNC:37651	ACTG1P11	Approved				
HGNC:44496	ACTG1P12	Approved				
HGNC:49058	ACTG1P13	Approved				
HGNC:49751	ACTG1P14	Approved				
HGNC:51495	ACTG1P15	Approved				
HGNC:51496	ACTG1P16	Approved				
HGNC:51497	ACTG1P17	Approved				
HGNC:51498	ACTG1P18	Approved				
HGNC:51499	ACTG1P19	Approved				
HGNC:51500	ACTG1P20	Approved				
HGNC:51501	ACTG1P21	Approved				
HGNC:51502	ACTG1P22	Approved				
HGNC:51503	ACTG1P23	Approved				
HGNC:49661	ACTG1P24	Approved	POTENP			
HGNC:54872	ACTG1P25	Approved				
HGNC:145	ACTG2	Approved	ACTL3, ACTA3		Actins	929
HGNC:156	ACTL2	Symbol Withdrawn				
HGNC:157	ACTL3	Symbol Withdrawn				
HGNC:158	ACTL4	Entry Withdrawn				
HGNC:159	ACTL5	Entry Withdrawn				
HGNC:24124	ACTL6A	Approved		AK098691	Actin related proteins|BAF complex subunits|Tip60/Nua4 histone acetyltransferase complex subunits|PBAF complex subunits|SRCAP complex|GBAF complex subunits|INO80 complex	1436|1604|1634|1605|1329|1606|595
HGNC:58683	ACTL6A-AS1	Approved			Antisense RNAs	1987
HGNC:160	ACTL6B	Approved	ACTL6	AB015906	Actin related proteins|BAF complex subunits|PBAF complex subunits|GBAF complex subunits	1436|1604|1605|1606
HGNC:161	ACTL7A	Approved		BC014610	Actin related proteins	1436
HGNC:162	ACTL7B	Approved		BC033789	Actin related proteins	1436
HGNC:24018	ACTL8	Approved		AK057339	Actin related proteins	1436
HGNC:28494	ACTL9	Approved			Actin related proteins	1436
HGNC:16127	ACTL10	Approved	C20orf134	AL121906	Actin related proteins	1436
